"vidid","adviews"
"VID_3586",35489
"VID_5788",8768
"VID_12137",8354
"VID_14347",35539
"VID_19044",36567
"VID_11039",691
"VID_3484",77
"VID_15142",859
"VID_3351",1313
"VID_5895",509
"VID_16112",249
"VID_19247",317
"VID_11439",535
"VID_18883",1876
"VID_12140",496
"VID_17446",1534
"VID_5115",4637
"VID_21486",1192
"VID_17120",33537
"VID_3959",660
"VID_15956",163
"VID_15739",26
"VID_2682",472
"VID_14621",1642
"VID_9320",986
"VID_12110",1218
"VID_11354",97
"VID_811",119
"VID_9472",1612
"VID_4773",670
"VID_12695",37
"VID_19547",1143
"VID_530",133
"VID_155",662
"VID_22955",1487
"VID_20307",2081
"VID_11612",479
"VID_15674",4336
"VID_13000",303
"VID_1455",448
"VID_23534",55
"VID_18740",891
"VID_17988",70390
"VID_21728",975
"VID_10905",52
"VID_18445",3093
"VID_21983",2323
"VID_16023",244
"VID_1444",9729
"VID_1814",15816
"VID_19094",1910
"VID_19355",1814
"VID_20430",696
"VID_13461",347
"VID_9066",404
"VID_3020",1486
"VID_13577",23628
"VID_5062",1286
"VID_9293",116
"VID_16663",240
"VID_20444",513
"VID_22353",60111
"VID_22384",48955
"VID_23036",265
"VID_12705",489
"VID_11785",728
"VID_22988",506
"VID_9495",2006
"VID_8909",18282
"VID_13459",10049
"VID_22206",374
"VID_12228",375
"VID_2335",35
"VID_17498",22
"VID_18702",664
"VID_10850",912
"VID_12956",1155
"VID_6246",394
"VID_9539",430
"VID_17436",42087
"VID_8383",531
"VID_4554",28
"VID_18487",671
"VID_6285",580
"VID_287",685
"VID_5371",6
"VID_10704",6091
"VID_20810",1682
"VID_7972",1534
"VID_10923",410
"VID_11876",426
"VID_15477",2172
"VID_12366",1222
"VID_6538",16104
"VID_10092",6
"VID_6826",47871
"VID_22526",510
"VID_10897",158
"VID_3400",25
"VID_9995",2140
"VID_19337",9
"VID_9673",5355
"VID_12280",498
"VID_14038",36181
"VID_11157",543
"VID_13406",238
"VID_7774",869
"VID_7386",15
"VID_2419",60
"VID_6334",388
"VID_1778",1066
"VID_4907",23
"VID_7122",160
"VID_10445",230
"VID_18113",479
"VID_6716",2253
"VID_5803",1235
"VID_6459",155
"VID_14427",423
"VID_3872",5166
"VID_6774",12007
"VID_11609",686
"VID_21821",6544
"VID_14317",522
"VID_4982",196
"VID_5798",756
"VID_4365",279
"VID_6535",26021
"VID_7237",3025
"VID_10388",20
"VID_17934",474
"VID_838",14084
"VID_5439",839
"VID_11455",610
"VID_7473",277
"VID_16677",54
"VID_18433",175
"VID_10243",2171
"VID_23592",450
"VID_19401",843
"VID_2547",254
"VID_4525",219
"VID_13804",2443
"VID_22266",950
"VID_7560",966
"VID_10381",3887
"VID_4977",62
"VID_14081",418
"VID_19054",555
"VID_2608",496
"VID_8639",1762
"VID_4407",7
"VID_9135",25762
"VID_9462",852
"VID_10687",41203
"VID_15274",4354
"VID_22631",1117
"VID_3777",405
"VID_10585",26524
"VID_18024",780
"VID_10941",409
"VID_525",1811
"VID_17097",153
"VID_13836",591
"VID_12202",479
"VID_20868",475
"VID_17084",32588
"VID_23196",176
"VID_7322",618
"VID_17922",71705
"VID_5486",354
"VID_15289",65387
"VID_7993",791
"VID_14078",503
"VID_21530",2489
"VID_11469",628
"VID_20959",516
"VID_18159",975
"VID_19624",537
"VID_19029",618
"VID_3489",30971
"VID_15983",405
"VID_23605",19367
"VID_23757",1007
"VID_7488",1543
"VID_15445",351
"VID_4538",2981
"VID_22661",14678
"VID_5912",434
"VID_3324",123
"VID_21241",436
"VID_18194",338
"VID_8640",3008
"VID_10657",128479
"VID_3622",33
"VID_14909",562
"VID_5961",891
"VID_117",53
"VID_4690",1490
"VID_10717",1182
"VID_20280",30
"VID_6395",127
"VID_9199",38
"VID_6343",115
"VID_7459",18235
"VID_18041",484
"VID_12175",249
"VID_8174",3
"VID_15644",537
"VID_3021",2455
"VID_251",581
"VID_20609",1240
"VID_2033",261
"VID_20357",822
"VID_16428",994
"VID_12297",567
"VID_1214",45298
"VID_19907",156
"VID_4697",1384
"VID_22474",215
"VID_4002",101
"VID_17351",690
"VID_937",5105
"VID_17501",435
"VID_2312",195
"VID_22996",1149
"VID_14413",1393
"VID_7938",899
"VID_616",21
"VID_22499",106715
"VID_21393",3294
"VID_23320",127
"VID_22780",3879
"VID_10862",1950
"VID_21132",2357
"VID_1416",1991
"VID_624",372
"VID_10127",745
"VID_15874",486
"VID_6946",527
"VID_8674",605
"VID_22878",1580
"VID_560",156
"VID_13640",70704
"VID_9765",2480
"VID_22398",1987
"VID_20560",19485
"VID_4068",6
"VID_938",24454
"VID_19068",369
"VID_8889",45407
"VID_23347",158
"VID_16952",3322
"VID_6032",131
"VID_5116",940
"VID_4210",222
"VID_22022",265
"VID_16770",336
"VID_18981",2059
"VID_1668",1598
"VID_23726",398
"VID_18550",327
"VID_5518",581
"VID_12958",224
"VID_16501",1183
"VID_21485",88
"VID_14475",211
"VID_3865",97
"VID_21642",98
"VID_22934",1989
"VID_14667",37
"VID_5519",296
"VID_17889",668
"VID_17728",7
"VID_8727",1611
"VID_14785",859
"VID_16387",340
"VID_10703",3003
"VID_7213",30578
"VID_14454",822
"VID_13455",2028
"VID_5467",150
"VID_21139",1971
"VID_9033",404
"VID_3863",618
"VID_13990",71
"VID_2641",57625
"VID_15745",331
"VID_5929",2015
"VID_769",6136
"VID_5499",62
"VID_8609",15933
"VID_3903",3471
"VID_19579",632
"VID_10506",464
"VID_23577",13037
"VID_9042",681
"VID_10606",802
"VID_14849",279
"VID_10497",467
"VID_21208",2485
"VID_12837",494
"VID_7924",1817
"VID_21109",7
"VID_6848",6279
"VID_8993",1086
"VID_10584",895
"VID_19794",649
"VID_15209",6367
"VID_6195",732
"VID_22498",311
"VID_9814",628
"VID_18155",940
"VID_20573",4371
"VID_4092",163
"VID_15455",900
"VID_8989",32147
"VID_1852",907
"VID_17278",363
"VID_12619",853
"VID_22663",44
"VID_15372",5
"VID_13978",763
"VID_17325",179
"VID_19025",1640
"VID_21374",488
"VID_10207",2996
"VID_11924",537
"VID_8975",46425
"VID_8851",753
"VID_12210",146
"VID_8178",303
"VID_19252",637
"VID_5421",565
"VID_6757",1291
"VID_8125",1024
"VID_14709",14
"VID_5795",550
"VID_21888",67124
"VID_14058",424
"VID_8028",1218
"VID_22918",334
"VID_11731",816
"VID_22841",2822
"VID_7453",624
"VID_11870",32047
"VID_20484",242
"VID_1971",321
"VID_599",768
"VID_16812",210
"VID_5401",52
"VID_16289",1087
"VID_12150",727
"VID_13299",19
"VID_19015",7683
"VID_1604",261
"VID_18013",71080
"VID_2240",241
"VID_8114",430
"VID_13586",944
"VID_2784",61
"VID_1539",59649
"VID_6787",43991
"VID_11544",750
"VID_5296",45714
"VID_5684",205
"VID_7467",1009
"VID_5869",2764
"VID_19596",179
"VID_96",2555
"VID_859",639
"VID_13559",500
"VID_20976",529
"VID_18524",4986
"VID_3089",1048
"VID_4453",2964
"VID_15802",1124
"VID_18291",301
"VID_3914",3812
"VID_10582",801
"VID_11482",872
"VID_615",1560
"VID_19069",314
"VID_911",486
"VID_3308",6
"VID_5668",44
"VID_16402",625
"VID_19375",24
"VID_8556",410
"VID_19966",5
"VID_17274",170
"VID_407",1183
"VID_23383",453
"VID_6105",576
"VID_2643",344
"VID_18875",396
"VID_13188",1208
"VID_13504",5984
"VID_17900",49757
"VID_6368",76
"VID_19648",32725
"VID_23490",157
"VID_9098",139
"VID_12973",532
"VID_15207",3108
"VID_17033",452
"VID_21758",481
"VID_21628",571
"VID_3935",1924
"VID_5670",7
"VID_13844",472
"VID_20416",2296
"VID_19885",32
"VID_15487",397
"VID_9890",714
"VID_17721",257
"VID_2585",6746
"VID_19723",27
"VID_22716",672
"VID_10004",254
"VID_1529",47519
"VID_8126",409
"VID_4224",384
"VID_22704",1370
"VID_10705",1549
"VID_10524",60
"VID_1133",490
"VID_3404",75
"VID_20344",4143
"VID_9397",438
"VID_20601",585
"VID_9482",1519
"VID_6673",872
"VID_3899",5416
"VID_7008",1020
"VID_2690",46
"VID_7483",1105
"VID_1614",521
"VID_241",630
"VID_13499",454
"VID_11734",95
"VID_18937",1413
"VID_11906",449
"VID_11525",774
"VID_4199",201
"VID_19984",374
"VID_15743",548
"VID_23097",3134
"VID_16716",6
"VID_6805",46143
"VID_6552",205
"VID_269",748
"VID_13646",10540
"VID_10761",1549
"VID_16502",42552
"VID_10352",6456
"VID_10226",277
"VID_23493",499
"VID_734",3180
"VID_5364",88
"VID_5122",136
"VID_2104",787
"VID_5143",50142
"VID_3850",6
"VID_23633",223
"VID_19158",1410
"VID_23597",177
"VID_5716",19
"VID_23516",560
"VID_12921",490
"VID_17949",51101
"VID_8164",17
"VID_2097",6
"VID_10400",8
"VID_998",19152
"VID_11447",1196
"VID_7866",42
"VID_11664",16
"VID_7094",1707
"VID_19536",91575
"VID_13747",8563
"VID_6307",55
"VID_2424",3315
"VID_6363",928
"VID_1524",34798
"VID_20772",205
"VID_23466",507
"VID_10752",1549
"VID_4918",1290
"VID_23046",4183
"VID_6694",2453
"VID_4646",1768
"VID_17016",6765
"VID_11145",471
"VID_12387",5729
"VID_22126",22824
"VID_17930",91819
"VID_12268",53618
"VID_5192",645
"VID_16369",843
"VID_11841",2540
"VID_13926",510
"VID_5622",2444
"VID_5346",662
"VID_10544",196
"VID_6622",47952
"VID_17583",3889
"VID_13876",486
"VID_1033",3962
"VID_10998",71078
"VID_7037",80
"VID_22495",564
"VID_13170",1384
"VID_7480",78
"VID_13753",1177
"VID_13831",399
"VID_17763",243
"VID_2793",146
"VID_20514",3304
"VID_22850",829
"VID_3953",16
"VID_2434",193
"VID_13670",974
"VID_12368",1110
"VID_19664",84428
"VID_4173",49
"VID_15859",68
"VID_14717",511
"VID_18425",746
"VID_5232",446
"VID_6288",247
"VID_7433",186
"VID_1003",1530
"VID_13060",14
"VID_15297",2707
"VID_9730",1890
"VID_19022",26896
"VID_1885",68570
"VID_7425",443
"VID_20867",504
"VID_2501",6
"VID_19822",684
"VID_10604",2052
"VID_18763",815
"VID_1818",49501
"VID_16644",46350
"VID_7528",79
"VID_8166",13
"VID_22357",531
"VID_3918",4919
"VID_10589",87
"VID_3027",453
"VID_23607",1110
"VID_9153",1973
"VID_291",171
"VID_8213",308
"VID_9424",400
"VID_19769",33171
"VID_22910",15460
"VID_14626",10
"VID_2363",29421
"VID_5125",24515
"VID_16291",1432
"VID_14392",751
"VID_1036",506
"VID_14153",1064
"VID_13506",1080
"VID_6149",224
"VID_2777",504
"VID_19018",8357
"VID_8497",255
"VID_21395",59458
"VID_7117",4378
"VID_21328",1166
"VID_7710",172
"VID_17750",644
"VID_1680",94835
"VID_4028",254
"VID_20481",771
"VID_8880",32873
"VID_21640",153
"VID_13074",2665
"VID_8763",68
"VID_3983",69
"VID_432",498
"VID_14174",698
"VID_23234",515
"VID_23704",87160
"VID_5492",2117
"VID_6329",123
"VID_3504",267
"VID_5758",15713
"VID_4794",191
"VID_20788",591
"VID_5213",1380
"VID_6785",43013
"VID_11456",115
"VID_22729",17841
"VID_9741",615
"VID_16684",325
"VID_11853",126
"VID_3598",1243
"VID_6772",2555
"VID_2469",2598
"VID_2206",42061
"VID_6843",24783
"VID_10634",154
"VID_8040",24
"VID_12369",87
"VID_2693",365
"VID_11067",493
"VID_11520",592
"VID_2821",2083
"VID_3038",403
"VID_11250",572
"VID_22710",112
"VID_11733",2
"VID_7363",495
"VID_23723",19165
"VID_11688",169
"VID_6034",225
"VID_22123",566
"VID_20388",372
"VID_6503",67711
"VID_15018",318
"VID_22601",408
"VID_3210",1081
"VID_11450",21016
"VID_1040",64755
"VID_13938",181
"VID_20462",28689
"VID_22043",9203
"VID_23262",4569
"VID_13502",105
"VID_13855",70646
"VID_1368",247
"VID_9381",1085
"VID_12394",29724
"VID_19290",492
"VID_5050",541
"VID_23326",8156
"VID_5262",4528
"VID_23088",40
"VID_13259",489
"VID_13056",123
"VID_17553",980
"VID_5220",563
"VID_16497",586
"VID_17882",1430
"VID_14613",243
"VID_600",870
"VID_19476",788
"VID_814",372
"VID_21709",899
"VID_23117",33112
"VID_22461",841
"VID_5566",2332
"VID_3407",58
"VID_5958",31
"VID_15941",8
"VID_11387",150
"VID_11741",134
"VID_70",359
"VID_20781",545
"VID_11832",682
"VID_1723",418
"VID_6240",844
"VID_8963",1953
"VID_14121",244
"VID_7960",771
"VID_14523",340
"VID_20941",931
"VID_23728",66303
"VID_17575",36266
"VID_13353",133
"VID_18877",219
"VID_19283",1607
"VID_19494",8
"VID_12311",475
"VID_21019",27
"VID_23343",31
"VID_16495",576
"VID_2932",623
"VID_21207",1156
"VID_12004",1200
"VID_11129",16548
"VID_15892",845
"VID_5645",1881
"VID_8615",6334
"VID_20982",502
"VID_12201",913
"VID_20427",17
"VID_17217",7108
"VID_1642",6614
"VID_11516",887
"VID_23022",1375
"VID_7142",2134
"VID_9909",949
"VID_9529",4939
"VID_22664",511
"VID_435",3291
"VID_15960",653
"VID_12952",808
"VID_21100",5178
"VID_23229",454
"VID_10906",1828
"VID_2945",576
"VID_10393",5
"VID_11026",496
"VID_13865",66850
"VID_13079",4235
"VID_20285",325
"VID_22600",2998
"VID_15248",24
"VID_12096",10266
"VID_12609",30317
"VID_21464",28800
"VID_2568",1575
"VID_18864",504
"VID_3347",98
"VID_15238",2654
"VID_17746",1763
"VID_20055",11923
"VID_7138",1045
"VID_5665",50
"VID_8130",216
"VID_14441",492
"VID_8693",1366
"VID_12944",1019
"VID_3446",200
"VID_2862",96257
"VID_5671",1644
"VID_8484",1532
"VID_5596",446
"VID_15925",30
"VID_18290",2961
"VID_4102",31
"VID_18762",509
"VID_49",109
"VID_19899",730
"VID_6311",183
"VID_9972",8952
"VID_12965",633
"VID_12420",461
"VID_7547",1990
"VID_21893",110082
"VID_21819",235
"VID_20945",1268
"VID_3359",268
"VID_1671",978
"VID_7479",199
"VID_12766",19
"VID_8145",244
"VID_13652",1024
"VID_21627",659
"VID_472",199
"VID_16667",35750
"VID_20187",79
"VID_18033",498
"VID_1061",408
"VID_3719",95
"VID_14470",500
"VID_430",627
"VID_22153",347
"VID_19285",2060
"VID_8843",672
"VID_11084",91813
"VID_1246",18607
"VID_22180",190
"VID_3111",94
"VID_7313",838
"VID_23081",1196
"VID_10020",974
"VID_5656",425
"VID_15080",186
"VID_18949",938
"VID_10056",2050
"VID_17696",160
"VID_23304",27360
"VID_22199",47
"VID_4851",902
"VID_3917",286
"VID_6859",47243
"VID_21622",1168
"VID_20987",1319
"VID_20279",65
"VID_12069",66908
"VID_3742",19
"VID_5130",340
"VID_3029",55
"VID_23673",535
"VID_9586",672
"VID_11637",1820
"VID_15344",466
"VID_12885",2848
"VID_4096",12
"VID_4138",121
"VID_12864",532
"VID_5340",53
"VID_11542",1434
"VID_18608",862
"VID_15189",209
"VID_22317",117
"VID_22385",433
"VID_10936",490
"VID_11519",19422
"VID_12576",1130
"VID_20918",720
"VID_17112",403
"VID_2396",1880
"VID_3125",570
"VID_9058",39684
"VID_5939",4306
"VID_7593",227
"VID_4754",80
"VID_2974",811
"VID_3590",147
"VID_3600",305
"VID_8459",13228
"VID_4543",358
"VID_12434",32
"VID_12167",20712
"VID_1322",46508
"VID_19409",1160
"VID_10523",827
"VID_4457",8139
"VID_19478",815
"VID_20828",19295
"VID_10775",410
"VID_12091",1146
"VID_14378",1150
"VID_1418",42075
"VID_12458",188
"VID_15357",116
"VID_3555",52
"VID_19662",1360
"VID_9393",180
"VID_19125",1142
"VID_17044",18953
"VID_14112",667
"VID_22607",311
"VID_9508",64
"VID_18141",126
"VID_13392",701
"VID_6306",254
"VID_16298",2877
"VID_5832",20961
"VID_20852",423
"VID_2052",313
"VID_11283",5674
"VID_20392",2331
"VID_22108",17131
"VID_3064",842
"VID_4482",2074
"VID_11672",866
"VID_3301",6
"VID_20106",770
"VID_16205",41755
"VID_9532",1275
"VID_11294",470
"VID_12690",5110
"VID_21059",649
"VID_2388",793
"VID_17405",41
"VID_3099",309
"VID_20770",1008
"VID_17262",188
"VID_4476",419
"VID_1163",2909
"VID_22777",513
"VID_21090",640
"VID_6598",50759
"VID_5743",7272
"VID_21253",1427
"VID_20611",39753
"VID_1089",86191
"VID_4371",2312
"VID_17003",18321
"VID_18424",379
"VID_1222",122
"VID_6479",4994
"VID_13563",8024
"VID_12946",432
"VID_8437",419
"VID_21515",24937
"VID_14775",229
"VID_17802",1435
"VID_8274",283
"VID_23680",31333
"VID_6005",2569
"VID_23105",3442
"VID_9956",727
"VID_6750",361
"VID_16401",516
"VID_23075",408
"VID_14863",371
"VID_19341",406
"VID_19522",645
"VID_7749",1113
"VID_17107",36598
"VID_12774",52
"VID_8974",80811
"VID_11208",263
"VID_6781",34703
"VID_2411",30
"VID_8384",5
"VID_21496",246
"VID_18389",205
"VID_18660",455
"VID_1547",24550
"VID_1065",654
"VID_7387",1519
"VID_11746",206
"VID_7133",268
"VID_17890",834
"VID_12710",410
"VID_4806",2392
"VID_1976",69581
"VID_13114",2404
"VID_19933",668
"VID_8961",19006
"VID_4436",41
"VID_11471",113
"VID_6393",944
"VID_8690",70
"VID_1266",1159
"VID_10199",2996
"VID_16287",1029
"VID_11285",279
"VID_22078",3413
"VID_22632",655
"VID_17811",751
"VID_308",212
"VID_8559",349
"VID_13391",16236
"VID_23733",398
"VID_12814",667
"VID_7783",365
"VID_11619",210
"VID_4950",2641
"VID_17844",6276
"VID_15758",9
"VID_20079",36
"VID_10069",54
"VID_15577",2144
"VID_9911",1192
"VID_17668",452
"VID_22412",549
"VID_20668",1025
"VID_5469",2187
"VID_3477",8
"VID_15324",261
"VID_11267",828
"VID_8597",1037
"VID_14548",645
"VID_1194",148
"VID_5600",310
"VID_714",679
"VID_15462",105
"VID_17243",763
"VID_2432",247
"VID_12784",3848
"VID_4755",12
"VID_12103",42801
"VID_5452",355
"VID_1077",66850
"VID_13656",10306
"VID_23047",18
"VID_2692",147
"VID_20623",924
"VID_19418",168
"VID_22232",3026
"VID_6574",795
"VID_7327",2788
"VID_13579",449
"VID_14575",546
"VID_5813",2141
"VID_15008",58
"VID_575",1802
"VID_20939",7527
"VID_1973",1557
"VID_6371",166
"VID_14854",30004
"VID_14833",373
"VID_21299",4076
"VID_16915",7
"VID_6309",534
"VID_10230",1174
"VID_17533",1143
"VID_13445",48948
"VID_20091",341
"VID_14734",567
"VID_990",70593
"VID_1433",12466
"VID_17335",11
"VID_9492",117651
"VID_16368",2244
"VID_21194",262
"VID_7536",2897
"VID_11647",2284
"VID_22540",226
"VID_12919",75983
"VID_8573",888
"VID_332",1569
"VID_23679",2135
"VID_6675",956
"VID_6431",30
"VID_12138",35853
"VID_14674",798
"VID_9043",188
"VID_1427",39480
"VID_10326",584
"VID_6121",13
"VID_20413",1510
"VID_19785",16
"VID_12681",2363
"VID_20531",202
"VID_6356",168
"VID_3790",643
"VID_6591",14170
"VID_1798",495
"VID_409",287
"VID_11941",1439
"VID_22788",1840
"VID_9094",37239
"VID_7071",19
"VID_3436",24
"VID_20475",1452
"VID_22614",10363
"VID_15108",301
"VID_7007",15
"VID_18260",2006
"VID_10317",22184
"VID_21914",777
"VID_8034",794
"VID_9624",1276
"VID_9860",619
"VID_609",37
"VID_9013",869
"VID_15684",152
"VID_11353",103
"VID_23124",3649
"VID_7717",729
"VID_12993",708
"VID_390",2628
"VID_2574",170
"VID_9826",495
"VID_20411",818
"VID_13748",14213
"VID_22008",1722
"VID_23133",1104
"VID_18461",731
"VID_13349",243
"VID_8256",1051
"VID_10201",830
"VID_773",489
"VID_11020",519
"VID_12745",443
"VID_19425",28
"VID_12029",1284
"VID_1907",37139
"VID_22849",22983
"VID_2714",16254
"VID_19918",3396
"VID_6134",989
"VID_5853",254
"VID_10963",498
"VID_8466",167
"VID_14189",502
"VID_13934",153
"VID_5932",460
"VID_15673",1439
"VID_7804",466
"VID_3722",342
"VID_19906",1121
"VID_3043",509
"VID_1513",64711
"VID_2110",513
"VID_17568",71877
"VID_11373",24
"VID_22316",202
"VID_15689",2516
"VID_22380",466
"VID_6587",49
"VID_7533",552
"VID_15710",1507
"VID_821",150
"VID_13807",3380
"VID_12586",28540
"VID_7625",372
"VID_22652",1615
"VID_9901",733
"VID_21380",586
"VID_7879",121
"VID_15339",3143
"VID_10163",1458
"VID_20937",1089
"VID_21929",267
"VID_19609",1481
"VID_64",161
"VID_17238",966
"VID_9551",688
"VID_9804",3187
"VID_4537",149
"VID_10869",1807
"VID_22949",1761
"VID_7384",70
"VID_15761",318
"VID_3571",31
"VID_8563",589
"VID_16120",607
"VID_11440",46
"VID_3480",1997
"VID_4673",112
"VID_4063",45
"VID_16045",473
"VID_2318",17448
"VID_21811",442
"VID_685",545
"VID_18512",975
"VID_21188",1125
"VID_16896",78
"VID_4347",564
"VID_2525",6
"VID_20174",36
"VID_7525",204
"VID_6181",690
"VID_8939",24354
"VID_6809",46572
"VID_16279",6864
"VID_2836",22
"VID_19921",565
"VID_10241",2450
"VID_5180",30
"VID_7716",425
"VID_5583",269
"VID_12564",20217
"VID_2866",608
"VID_3702",592
"VID_10224",2632
"VID_19132",492
"VID_16745",735
"VID_9703",138
"VID_9081",311
"VID_14978",4397
"VID_20905",93
"VID_18935",680
"VID_21108",468
"VID_18493",25245
"VID_8814",327
"VID_7192",298
"VID_7355",370
"VID_2617",398
"VID_22856",352
"VID_2794",791
"VID_3468",174
"VID_17472",678
"VID_13767",710
"VID_17302",630
"VID_22238",990
"VID_23200",467
"VID_14721",880
"VID_13902",93
"VID_2880",1219
"VID_23371",926
"VID_13147",35823
"VID_16856",122
"VID_7893",1044
"VID_4230",1333
"VID_9663",728
"VID_22068",1923
"VID_3623",706
